comment,classification
Skin does not seem plastic,6
What,0
The peoples' faces are too blurry,1
This a painting dog,"1,5"
Woman's left hand is strange,3
the hands looked off,3
her hand looked odd,3
"one person clear, person next was blurry","1,4"
background was off and crouching person's hand was odd,"4,9"
"no hay marcas dafdsf vasdf sda fsd fasd fasdf sa s


",0
muy perfecta ,0
The middle person's hair overlaps the boy's.,"6,9"
Weird lines on pants. Absolutely clapped haircut,"1,7"
Hands are a dead giveaway. Her eyes are also so bad,"3,6"
Because of lighting ,4
becasue og background,"4,8"
"Wrinkles are absent on her forehead, lack of shadows on her face ","1,4"
"The girls nose is distorted, the woman's leg disappears","3,9"
reflection of a finger does not match,"3,9"
"I cannot see any hands or feet to check but since those are hidden, it's possible this is AI.",0
Something seems off with the hand and bat,"3,9"
Something seems off with feet and shoes,"3,9"
Eyes seem off,2
Hard to verify since it is zoomed in. Can't see feet or hands,0
how they are holding the plates,0
hands near plate,"3,9"
Bkgd is blurred & off-kilter,"1,4"
Astronauts in space w/pizza & beers?,8
WHAT IS THAT OMG WHYYY,7
Mirror frame looks wrong.  ,"1,"
Line by eye look like an artifact ,1
Clothes look too smooth?,5
unnatural pose?,7
because he has a demented face,7
because it looks like ive seen this before but idk,0
because there's  glitch in her tooth,"3,9"
Messed up =P,0
too shaded,4
it looks too realistic,0
the faces look blured,1
eyes are very off,"2,6"
Her face looks fake,"2,5"
face is off,2
Oh god look at that right guy's face,"2,6"
looks like a kid out of a cartoon almost,7
There's something in her eye,6
The eyes look off,2
"What the hell are those things, they don't look human","2,6"
"What the hell is even going on here, why would an MLK photo look like this",0
Something about those eyes...,7
How the hell she holding the plate like that,"3,9"
Isn't that a massive mismatch between the bars and shadows,"4,9"
That's not a NASA patch,8
Lmao the rabbit,0
Wrinkles look wrong,6
Where tf are those pipes going ,9
no shadows,4
bud. you can tell.,0
guess -screen was zoomed didn't much,0
hands not quite right,"3,6"
arms are long,"3,6"
The bone structure in the hands and feet are contorted.,3
Right thumb looks painted,6
the faces are contoured ,6
the face is messed up ,"2,6"
the teeth and hairline look messed up,"2,6"
limbs look painted,"1,5"
"the shoes look different, and the eyes are misaligned ","2,6"
fingers are more than 5 on the fathers hands,3
a hand was inside the burger ,"3,9"
every face is misaligned ,"2,6"
Flags on uniform look distorted,"1,4"
"There are two shadows for the microphone. Unless there is a second mic outside the frame of the photo, then this is AI. But it's really really good.",4
The hair is messed up. The woman in the pink top has a shadow on her left shoulder that shouldn't be there.,4
"The text on the jersey in the foreground is not recognizable as blurred English text. But this is very good. I mostly was distracted by Jenner's deadname, despite the year on the jersey being 2022. Also, I know nothing about how marathons work - wouldn't the contestant's last name be put on the jersey instead of a first name?","8,10"
"It has that ""AI lighting"" plasticky style.",5
It's the hands.,6
The eyes have that 100% signature AI monstrosity look to them.,7
The bat is growing out of her fist.,"3,9"
Shoulder patch is wrong.,6
"The guy on the right is missing a leg. Which isn't impossible, but he also doesn't have any crutches or a prosthetic nearby.","3,9"
The eyes are wrong.,"2,6"
Keyboard is messed up.,0
The text and the plasticky skin. His frown is too deep/comical.,7
hands are good,0
bad hands,"3,6"
desproporcional o pelo do cachorro com a mão do homem. Falta mais integração de uma imagem com a outra,"2,6"
"The lighting is wrong. It's an outdoor wedding tent, the sky outside is dark, but the lighting is the wrong color temperature.",4
That's a really weird pizza if that's a real shot from Gilmore Girls.,8
EYES.,"2,6"
The light is too... hazy. The skin texture is too plasticky. Too much like an illustration.,"1,5"
That is a very unnatural expression for a baby.,"2,6"
The text on the door,0
".rfwfwefsefsef
",0
autism makes hard for it decide to me boys sorry,0
autism obviously it fake is really easy,0
"mnhtutrmgke,ltykjm",0
really it is real,0
who would make fake images about homeless people...... that is just homist.,8
autism is telling me fingers is fake so fake is fingers ,"6,7"
that is my daddy,0
autisk,0
too black to exist ,0
glasses man looks good and skibidi,0
bro looks too hot,0
boss baby clears,0
Obama is my wife and I know its fake ,"7,8"
